,VM Name,vCPUs,Memory (GiB),Linux Price,Windows Price
,Standard_HB120rs_v3,120,448,3.6000,9.1200
,Standard_NC24,24,224,3.6000,4.3360
,Standard_D64d_v4,64,256,3.6160,6.5600
,Standard_D64d_v5,64,256,3.6160,6.5600
,Standard_D64ds_v4,64,256,3.6160,6.5600
,Standard_D64ds_v5,64,256,3.6160,6.5600
,Standard_DC32ds_v3,32,256,3.6160,5.0880
,Standard_E64-16as_v5,16,512,3.6160,6.5600
,Standard_E64-32as_v5,32,512,3.6160,6.5600
,Standard_E64as_v5,64,512,3.6160,6.5600
,Standard_DC64ads_v5,64,256,3.6260,6.5700
,Standard_E64_v3,64,432,3.6290,6.5730
,Standard_E64-16s_v3,16,432,3.6290,6.5730
,Standard_E64-32s_v3,32,432,3.6290,6.5730
,Standard_E64i_v3,64,432,3.6290,6.5730
,Standard_E64is_v3,64,432,3.6290,6.5730
,Standard_E64s_v3,64,432,3.6290,6.5730
,Standard_NC24ads_A100_v4,24,220,3.6730,4.7770
,Standard_L48as_v3,48,384,3.7440,5.9520
,Standard_L48s_v2,48,384,3.7440,5.9520
,Standard_NC24r,24,224,3.9600,4.7700
,Standard_E48bds_v5,48,384,4.0080,6.2160
,Standard_E64_v4,64,504,4.0320,6.9760
,Standard_E64_v5,64,512,4.0320,6.9760
,Standard_E64-16as_v4,16,512,4.0320,6.9760
,Standard_E64-16s_v4,16,504,4.0320,6.9760
,Standard_E64-32as_v4,32,512,4.0320,6.9760
,Standard_E64-32s_v4,32,504,4.0320,6.9760
,Standard_E64-32s_v5,32,512,4.0320,6.9760
,Standard_E64a_v4,64,512,4.0320,6.9760
,Standard_E64as_v4,64,512,4.0320,6.9760
,Standard_E64s_v4,64,504,4.0320,6.9760
,Standard_E64s_v5,64,512,4.0320,6.9760
,Standard_D96as_v5,96,384,4.1280,8.5440
,Standard_NC12s_v2,12,224,4.1400,4.9860
,Standard_ND12s,12,224,4.1400,4.9860
,Standard_L48s_v3,48,384,4.1760,6.3840
,Standard_E64-16ads_v5,16,512,4.1920,7.1360
,Standard_E64-32ads_v5,32,512,4.1920,7.1360
,Standard_E64ads_v5,64,512,4.1920,7.1360
,Standard_NC64as_T4_v3,64,440,4.3520,7.2960
